Temperature	Strain_p	Strain
308.4050000	0.0722744	0.0007227
308.4050000	0.0722744	0.0007227
308.4060000	0.0723076	0.0007231
308.4080000	0.0721454	0.0007215
308.4090000	0.0719322	0.0007193
308.4100000	0.0716850	0.0007169
308.4090000	0.0713599	0.0007136
308.3990000	0.0710832	0.0007108
308.3800000	0.0707787	0.0007078
308.3550000	0.0704710	0.0007047
308.3290000	0.0701710	0.0007017
308.2970000	0.0698278	0.0006983
308.2680000	0.0694810	0.0006948
308.2420000	0.0691111	0.0006911
308.2170000	0.0687431	0.0006874
308.1950000	0.0683613	0.0006836
308.1740000	0.0680342	0.0006803
308.1530000	0.0677456	0.0006775
308.1320000	0.0675229	0.0006752
308.1100000	0.0673591	0.0006736
308.0880000	0.0674220	0.0006742
308.0660000	0.0675069	0.0006751
308.0420000	0.0676232	0.0006762
308.0150000	0.0678616	0.0006786
307.9870000	0.0682004	0.0006820
307.9570000	0.0686177	0.0006862
307.9210000	0.0691262	0.0006913
307.8810000	0.0696625	0.0006966
307.8380000	0.0702213	0.0007022
307.7920000	0.0707939	0.0007079
307.7440000	0.0713055	0.0007131
307.6940000	0.0715032	0.0007150
307.6400000	0.0712637	0.0007126
307.5860000	0.0709390	0.0007094
307.5320000	0.0705937	0.0007059
307.4800000	0.0702350	0.0007024
307.4270000	0.0698691	0.0006987
307.3740000	0.0695001	0.0006950
307.3190000	0.0691206	0.0006912
307.2650000	0.0687468	0.0006875
307.2120000	0.0683404	0.0006834
307.1600000	0.0679681	0.0006797
307.1080000	0.0676374	0.0006764
307.0560000	0.0673814	0.0006738
307.0010000	0.0672136	0.0006721
306.9460000	0.0671260	0.0006713
306.8910000	0.0671398	0.0006714
306.8370000	0.0672771	0.0006728
306.7870000	0.0674487	0.0006745
306.7370000	0.0676361	0.0006764
306.6890000	0.0678046	0.0006780
306.6450000	0.0679172	0.0006792
306.6000000	0.0679193	0.0006792
306.5530000	0.0677809	0.0006778
306.5060000	0.0675424	0.0006754
306.4600000	0.0672202	0.0006722
306.4140000	0.0668282	0.0006683
306.3660000	0.0663914	0.0006639
306.3150000	0.0660584	0.0006606
306.2610000	0.0655481	0.0006555
306.2020000	0.0650391	0.0006504
306.1340000	0.0645333	0.0006453
306.0600000	0.0640853	0.0006409
305.9830000	0.0636570	0.0006366
305.9020000	0.0632999	0.0006330
305.8210000	0.0629872	0.0006299
305.7410000	0.0627089	0.0006271
305.6610000	0.0624621	0.0006246
305.5840000	0.0622222	0.0006222
305.5120000	0.0620086	0.0006201
305.4460000	0.0619236	0.0006192
305.3860000	0.0622062	0.0006221
305.3280000	0.0627504	0.0006275
305.2680000	0.0632991	0.0006330
305.2060000	0.0637573	0.0006376
305.1380000	0.0641228	0.0006412
305.0650000	0.0644021	0.0006440
304.9910000	0.0645888	0.0006459
304.9210000	0.0646417	0.0006464
304.8550000	0.0646565	0.0006466
304.7900000	0.0646036	0.0006460
304.7250000	0.0644986	0.0006450
304.6670000	0.0644408	0.0006444
304.6150000	0.0642341	0.0006423
304.5690000	0.0640035	0.0006400
304.5230000	0.0637300	0.0006373
304.4800000	0.0634185	0.0006342
