Temperature	Strain_p	Strain
288.468000	0.465555	0.004656
288.351000	0.465565	0.004656
288.238000	0.465445	0.004654
288.124000	0.465367	0.004654
288.007000	0.465260	0.004653
287.891000	0.465110	0.004651
287.779000	0.464885	0.004649
287.671000	0.464626	0.004646
287.559000	0.464326	0.004643
287.446000	0.463986	0.004640
287.332000	0.463619	0.004636
287.218000	0.463236	0.004632
287.102000	0.462837	0.004628
286.984000	0.462437	0.004624
286.865000	0.462033	0.004620
286.745000	0.461645	0.004616
286.630000	0.461218	0.004612
286.519000	0.460879	0.004609
286.416000	0.460624	0.004606
286.316000	0.460448	0.004604
286.218000	0.460101	0.004601
286.119000	0.460110	0.004601
286.020000	0.460239	0.004602
285.919000	0.460442	0.004604
285.813000	0.460699	0.004607
285.704000	0.460974	0.004610
285.593000	0.461258	0.004613
285.478000	0.461544	0.004615
285.361000	0.461794	0.004618
285.238000	0.462022	0.004620
285.114000	0.462204	0.004622
284.985000	0.462345	0.004623
284.857000	0.462423	0.004624
284.728000	0.462449	0.004624
284.603000	0.462429	0.004624
284.478000	0.462380	0.004624
284.355000	0.462302	0.004623
284.236000	0.462213	0.004622
284.123000	0.462107	0.004621
284.013000	0.462030	0.004620
283.902000	0.462005	0.004620
283.791000	0.461922	0.004619
283.678000	0.461809	0.004618
283.565000	0.461679	0.004617
283.453000	0.461541	0.004615
283.346000	0.461358	0.004614
283.241000	0.461158	0.004612
283.138000	0.460978	0.004610
283.039000	0.460797	0.004608
282.938000	0.460653	0.004607
282.836000	0.460541	0.004605
282.731000	0.460461	0.004605
282.624000	0.460415	0.004604
282.519000	0.460254	0.004603
282.414000	0.460262	0.004603
282.310000	0.460279	0.004603
282.205000	0.460299	0.004603
282.101000	0.460324	0.004603
281.995000	0.460416	0.004604
281.888000	0.460403	0.004604
281.781000	0.460375	0.004604
281.673000	0.460316	0.004603
281.564000	0.460200	0.004602
281.450000	0.460047	0.004600
281.334000	0.459850	0.004599
281.219000	0.459631	0.004596
281.108000	0.459381	0.004594
281.004000	0.459112	0.004591
280.904000	0.458836	0.004588
280.808000	0.458563	0.004586
280.711000	0.458290	0.004583
280.616000	0.458034	0.004580
280.522000	0.457962	0.004580
280.424000	0.457763	0.004578
280.324000	0.457614	0.004576
280.224000	0.457539	0.004575
280.120000	0.457543	0.004575
280.015000	0.457506	0.004575
279.911000	0.457671	0.004577
279.808000	0.457909	0.004579
279.703000	0.458199	0.004582
279.599000	0.458514	0.004585
279.493000	0.458851	0.004589
279.394000	0.459143	0.004591
279.297000	0.459397	0.004594
279.202000	0.459616	0.004596
279.107000	0.459786	0.004598
279.009000	0.459921	0.004599
278.906000	0.459990	0.004600
278.797000	0.460025	0.004600
278.683000	0.460002	0.004600
278.569000	0.459887	0.004599
278.457000	0.459840	0.004598
278.344000	0.459766	0.004598
278.234000	0.459665	0.004597
278.124000	0.459572	0.004596
278.015000	0.459512	0.004595
277.907000	0.459485	0.004595
277.797000	0.459413	0.004594
277.682000	0.459341	0.004593
277.567000	0.459230	0.004592
277.451000	0.459071	0.004591
277.336000	0.458899	0.004589
277.222000	0.458701	0.004587
277.110000	0.458491	0.004585
276.999000	0.458296	0.004583
276.892000	0.458114	0.004581
276.788000	0.457959	0.004580
276.685000	0.457836	0.004578
276.583000	0.457756	0.004578
276.482000	0.457764	0.004578
276.384000	0.457788	0.004578
276.285000	0.457850	0.004579
276.184000	0.457955	0.004580
276.080000	0.458107	0.004581
275.971000	0.458292	0.004583
275.861000	0.458560	0.004586
275.749000	0.458780	0.004588
275.637000	0.458945	0.004589
275.525000	0.459054	0.004591
275.409000	0.459116	0.004591
275.292000	0.459046	0.004590
275.176000	0.458867	0.004589
275.057000	0.458590	0.004586
274.937000	0.458247	0.004582
274.814000	0.457841	0.004578
274.692000	0.457390	0.004574
274.569000	0.456901	0.004569
274.446000	0.456391	0.004564
274.322000	0.455882	0.004559
274.197000	0.455363	0.004554
274.069000	0.454856	0.004549
273.939000	0.454400	0.004544
273.810000	0.453976	0.004540
273.681000	0.453639	0.004536
273.553000	0.453368	0.004534
273.422000	0.453176	0.004532
273.292000	0.453030	0.004530
273.167000	0.452931	0.004529
273.043000	0.452842	0.004528
272.919000	0.452780	0.004528
272.793000	0.452745	0.004527
272.665000	0.452732	0.004527
272.534000	0.452733	0.004527
272.404000	0.452749	0.004527
272.274000	0.452759	0.004528
272.146000	0.452767	0.004528
272.020000	0.452608	0.004526
271.898000	0.452584	0.004526
271.777000	0.452544	0.004525
271.654000	0.452500	0.004525
271.536000	0.452465	0.004525
271.418000	0.452439	0.004524
271.301000	0.452560	0.004526
271.184000	0.452532	0.004525
271.066000	0.452506	0.004525
270.946000	0.452462	0.004525
270.823000	0.452411	0.004524
270.699000	0.452334	0.004523
270.575000	0.452281	0.004523
270.451000	0.452251	0.004523
270.327000	0.452247	0.004522
270.203000	0.452285	0.004523
270.083000	0.452358	0.004524
269.967000	0.452475	0.004525
269.853000	0.452637	0.004526
269.736000	0.452888	0.004529
269.616000	0.453146	0.004531
269.494000	0.453450	0.004535
269.368000	0.453797	0.004538
269.241000	0.454179	0.004542
269.114000	0.454573	0.004546
268.985000	0.454779	0.004548
268.857000	0.455101	0.004551
268.734000	0.455341	0.004553
268.609000	0.455460	0.004555
268.486000	0.455446	0.004554
268.362000	0.455283	0.004553
268.236000	0.454974	0.004550
268.107000	0.454540	0.004545
267.976000	0.453987	0.004540
267.842000	0.453345	0.004533
267.703000	0.452647	0.004526
267.558000	0.451886	0.004519
267.408000	0.451117	0.004511
267.258000	0.450345	0.004503
267.108000	0.449645	0.004496
266.958000	0.449016	0.004490
266.805000	0.448463	0.004485
266.650000	0.448014	0.004480
266.494000	0.447655	0.004477
266.334000	0.447459	0.004475
266.175000	0.447254	0.004473
266.016000	0.447137	0.004471
265.857000	0.447087	0.004471
265.703000	0.447060	0.004471
265.549000	0.447033	0.004470
265.396000	0.447046	0.004470
265.242000	0.447071	0.004471
265.089000	0.447113	0.004471
264.936000	0.447168	0.004472
264.784000	0.447233	0.004472
264.630000	0.447322	0.004473
264.476000	0.447407	0.004474
264.325000	0.447515	0.004475
264.176000	0.447593	0.004476
264.031000	0.447669	0.004477
263.888000	0.447750	0.004478
263.745000	0.447829	0.004478
263.604000	0.447913	0.004479
263.463000	0.447933	0.004479
263.323000	0.447964	0.004480
263.182000	0.447977	0.004480
263.041000	0.447965	0.004480
262.902000	0.447935	0.004479
262.762000	0.447897	0.004479
262.623000	0.447838	0.004478
262.486000	0.447778	0.004478
262.350000	0.447738	0.004477
262.215000	0.447742	0.004477
262.076000	0.447775	0.004478
261.937000	0.447840	0.004478
261.796000	0.447794	0.004478
261.651000	0.447897	0.004479
261.505000	0.448024	0.004480
261.360000	0.448167	0.004482
261.214000	0.448307	0.004483
261.067000	0.448442	0.004484
260.915000	0.448561	0.004486
260.763000	0.448635	0.004486
260.610000	0.448677	0.004487
260.459000	0.448669	0.004487
260.309000	0.448587	0.004486
260.160000	0.448459	0.004485
260.011000	0.448212	0.004482
259.863000	0.447880	0.004479
259.714000	0.447487	0.004475
259.565000	0.447052	0.004471
259.420000	0.446589	0.004466
259.276000	0.446135	0.004461
259.134000	0.445691	0.004457
258.994000	0.445218	0.004452
258.855000	0.444841	0.004448
258.717000	0.444528	0.004445
258.579000	0.444307	0.004443
258.440000	0.444179	0.004442
258.300000	0.444153	0.004442
258.159000	0.444377	0.004444
258.017000	0.444542	0.004445
257.876000	0.444752	0.004448
257.736000	0.444991	0.004450
257.597000	0.445218	0.004452
257.458000	0.445434	0.004454
257.322000	0.445636	0.004456
257.187000	0.445805	0.004458
257.051000	0.445946	0.004459
256.918000	0.446073	0.004461
256.788000	0.446174	0.004462
256.661000	0.446253	0.004463
256.534000	0.446283	0.004463
256.407000	0.446255	0.004463
256.278000	0.446210	0.004462
256.150000	0.446147	0.004461
256.024000	0.446061	0.004461
255.901000	0.445954	0.004460
255.780000	0.445821	0.004458
255.661000	0.445621	0.004456
255.541000	0.445438	0.004454
255.419000	0.445219	0.004452
255.295000	0.444966	0.004450
255.167000	0.444683	0.004447
255.038000	0.444381	0.004444
254.906000	0.444080	0.004441
254.776000	0.443801	0.004438
254.647000	0.443541	0.004435
254.519000	0.443342	0.004433
254.391000	0.443188	0.004432
254.268000	0.443068	0.004431
254.144000	0.443274	0.004433
254.019000	0.443249	0.004432
253.890000	0.443241	0.004432
253.759000	0.443280	0.004433
253.626000	0.443333	0.004433
253.491000	0.443410	0.004434
253.355000	0.443540	0.004435
253.219000	0.443677	0.004437
253.083000	0.443762	0.004438
252.949000	0.443777	0.004438
252.815000	0.443748	0.004437
252.679000	0.443646	0.004436
252.544000	0.443497	0.004435
252.408000	0.443288	0.004433
252.272000	0.443054	0.004431
252.134000	0.442806	0.004428
251.993000	0.442552	0.004426
251.850000	0.442316	0.004423
251.706000	0.442091	0.004421
251.558000	0.441750	0.004418
251.409000	0.441589	0.004416
251.258000	0.441494	0.004415
251.103000	0.441445	0.004414
250.947000	0.441443	0.004414
250.794000	0.441444	0.004414
250.647000	0.441544	0.004415
250.502000	0.441657	0.004417
250.361000	0.441811	0.004418
250.222000	0.441959	0.004420
250.083000	0.442108	0.004421
249.947000	0.442232	0.004422
249.810000	0.442324	0.004423
249.673000	0.442394	0.004424
249.537000	0.442440	0.004424
249.398000	0.442473	0.004425
249.257000	0.442480	0.004425
249.116000	0.442451	0.004425
248.975000	0.442384	0.004424
248.832000	0.442247	0.004422
248.687000	0.442113	0.004421
248.539000	0.441947	0.004419
248.392000	0.441748	0.004417
248.246000	0.441536	0.004415
248.100000	0.441358	0.004414
247.953000	0.441309	0.004413
247.806000	0.441134	0.004411
247.655000	0.440971	0.004410
247.505000	0.440819	0.004408
247.355000	0.440690	0.004407
247.206000	0.440585	0.004406
247.058000	0.440512	0.004405
246.911000	0.440449	0.004404
246.765000	0.440406	0.004404
246.620000	0.440379	0.004404
246.472000	0.440363	0.004404
246.324000	0.440343	0.004403
246.177000	0.440354	0.004404
246.026000	0.440435	0.004404
245.874000	0.440462	0.004405
245.721000	0.440481	0.004405
245.568000	0.440506	0.004405
245.415000	0.440518	0.004405
245.261000	0.440536	0.004405
245.108000	0.440611	0.004406
244.956000	0.440620	0.004406
244.805000	0.440586	0.004406
244.658000	0.440480	0.004405
244.512000	0.440298	0.004403
244.367000	0.440028	0.004400
244.224000	0.439684	0.004397
244.080000	0.439261	0.004393
243.936000	0.438794	0.004388
243.792000	0.438306	0.004383
243.648000	0.437822	0.004378
243.502000	0.437431	0.004374
243.356000	0.436970	0.004370
243.210000	0.436628	0.004366
243.064000	0.436393	0.004364
242.917000	0.436286	0.004363
242.769000	0.436321	0.004363
242.623000	0.436453	0.004365
242.476000	0.436674	0.004367
242.329000	0.436971	0.004370
242.181000	0.437282	0.004373
242.032000	0.437596	0.004376
241.882000	0.437918	0.004379
241.732000	0.438217	0.004382
241.581000	0.438471	0.004385
241.430000	0.438655	0.004387
241.280000	0.438739	0.004387
241.130000	0.438739	0.004387
240.984000	0.438652	0.004387
240.844000	0.438495	0.004385
240.708000	0.438267	0.004383
240.579000	0.437928	0.004379
240.453000	0.437600	0.004376
240.331000	0.437291	0.004373
240.210000	0.437000	0.004370
240.091000	0.436764	0.004368
239.970000	0.436610	0.004366
239.845000	0.436229	0.004362
239.720000	0.436173	0.004362
239.594000	0.436202	0.004362
239.467000	0.436267	0.004363
239.336000	0.436373	0.004364
239.203000	0.436547	0.004365
239.068000	0.436710	0.004367
238.932000	0.436901	0.004369
238.794000	0.437117	0.004371
238.659000	0.437379	0.004374
238.522000	0.437655	0.004377
238.384000	0.437932	0.004379
238.245000	0.438220	0.004382
238.108000	0.438568	0.004386
237.975000	0.438851	0.004389
237.843000	0.439112	0.004391
237.711000	0.439368	0.004394
237.578000	0.439607	0.004396
237.448000	0.439861	0.004399
237.318000	0.440250	0.004403
237.190000	0.440466	0.004405
237.065000	0.440598	0.004406
236.939000	0.440671	0.004407
236.809000	0.440674	0.004407
236.679000	0.440639	0.004406
236.547000	0.440475	0.004405
236.415000	0.440189	0.004402
236.282000	0.439889	0.004399
236.144000	0.439561	0.004396
236.010000	0.439200	0.004392
235.878000	0.438833	0.004388
235.749000	0.438466	0.004385
235.621000	0.438154	0.004382
235.496000	0.437835	0.004378
235.371000	0.437552	0.004376
235.246000	0.437326	0.004373
235.121000	0.437165	0.004372
234.996000	0.437078	0.004371
234.870000	0.437059	0.004371
234.744000	0.437034	0.004370
234.617000	0.437021	0.004370
234.487000	0.437004	0.004370
234.352000	0.436969	0.004370
234.213000	0.436865	0.004369
234.069000	0.436745	0.004367
233.924000	0.436599	0.004366
233.774000	0.436421	0.004364
233.621000	0.436214	0.004362
233.463000	0.435989	0.004360
233.306000	0.435757	0.004358
233.149000	0.435515	0.004355
232.996000	0.435272	0.004353
232.844000	0.435073	0.004351
232.694000	0.434943	0.004349
232.543000	0.434860	0.004349
232.391000	0.434849	0.004348
232.241000	0.434861	0.004349
232.088000	0.434909	0.004349
231.937000	0.435075	0.004351
231.786000	0.435313	0.004353
231.638000	0.435603	0.004356
231.489000	0.435919	0.004359
231.340000	0.436258	0.004363
231.193000	0.436602	0.004366
231.047000	0.436983	0.004370
230.902000	0.437375	0.004374
230.757000	0.437785	0.004378
230.612000	0.438244	0.004382
230.467000	0.438707	0.004387
230.320000	0.439188	0.004392
230.174000	0.439717	0.004397
230.028000	0.440275	0.004403
229.881000	0.440848	0.004408
229.733000	0.441427	0.004414
229.586000	0.441908	0.004419
229.439000	0.442462	0.004425
229.291000	0.442909	0.004429
229.142000	0.443252	0.004433
228.992000	0.443466	0.004435
228.844000	0.443520	0.004435
228.695000	0.443461	0.004435
228.545000	0.443293	0.004433
228.391000	0.443048	0.004430
228.233000	0.442732	0.004427
228.070000	0.442365	0.004424
227.906000	0.441940	0.004419
227.741000	0.441511	0.004415
227.575000	0.441112	0.004411
227.409000	0.440794	0.004408
227.239000	0.440582	0.004406
227.071000	0.440499	0.004405
226.903000	0.440548	0.004405
226.734000	0.440692	0.004407
226.565000	0.440978	0.004410
226.397000	0.441413	0.004414
226.231000	0.441859	0.004419
226.065000	0.442326	0.004423
225.898000	0.442792	0.004428
225.732000	0.443221	0.004432
225.564000	0.443602	0.004436
225.396000	0.444073	0.004441
225.228000	0.444386	0.004444
225.062000	0.444636	0.004446
224.898000	0.444865	0.004449
224.735000	0.445073	0.004451
224.573000	0.445269	0.004453
224.412000	0.445417	0.004454
224.254000	0.445523	0.004455
224.097000	0.445594	0.004456
223.938000	0.445611	0.004456
223.781000	0.445588	0.004456
223.623000	0.445539	0.004455
223.467000	0.445475	0.004455
223.310000	0.445330	0.004453
223.154000	0.445219	0.004452
222.997000	0.445107	0.004451
222.841000	0.444988	0.004450
222.688000	0.444870	0.004449
222.536000	0.444692	0.004447
222.388000	0.444562	0.004446
222.243000	0.444476	0.004445
222.104000	0.444463	0.004445
221.971000	0.444485	0.004445
221.840000	0.444626	0.004446
221.711000	0.444856	0.004449
221.581000	0.445162	0.004452
221.448000	0.445587	0.004456
221.313000	0.446012	0.004460
221.178000	0.446476	0.004465
221.044000	0.446961	0.004470
220.910000	0.447458	0.004475
220.773000	0.447960	0.004480
220.640000	0.448417	0.004484
220.504000	0.448893	0.004489
220.368000	0.449338	0.004493
220.230000	0.449735	0.004497
220.093000	0.450110	0.004501
219.956000	0.450402	0.004504
219.816000	0.450695	0.004507
219.673000	0.451008	0.004510
219.528000	0.451368	0.004514
219.379000	0.451807	0.004518
219.227000	0.452319	0.004523
219.071000	0.452918	0.004529
218.910000	0.453587	0.004536
218.745000	0.454317	0.004543
218.577000	0.455097	0.004551
218.408000	0.455926	0.004559
218.241000	0.456791	0.004568
218.078000	0.457679	0.004577
217.919000	0.458591	0.004586
217.761000	0.459622	0.004596
217.605000	0.460563	0.004606
217.449000	0.461498	0.004615
217.292000	0.462451	0.004625
217.136000	0.463423	0.004634
216.984000	0.464429	0.004644
216.839000	0.465394	0.004654
216.699000	0.466324	0.004663
216.564000	0.467218	0.004672
216.428000	0.468071	0.004681
216.294000	0.468879	0.004689
216.163000	0.469642	0.004696
216.031000	0.470372	0.004704
215.904000	0.471032	0.004710
215.776000	0.471651	0.004717
215.649000	0.472242	0.004722
215.522000	0.472779	0.004728
215.395000	0.473320	0.004733
215.267000	0.473749	0.004737
215.138000	0.474257	0.004743
215.008000	0.474791	0.004748
214.881000	0.475370	0.004754
214.755000	0.476037	0.004760
214.630000	0.476765	0.004768
214.507000	0.477617	0.004776
214.383000	0.478575	0.004786
214.260000	0.479637	0.004796
214.138000	0.480817	0.004808
214.014000	0.482089	0.004821
213.889000	0.483461	0.004835
213.764000	0.484910	0.004849
213.637000	0.486431	0.004864
213.509000	0.488014	0.004880
213.382000	0.489645	0.004896
213.255000	0.491315	0.004913
213.126000	0.493010	0.004930
212.997000	0.494711	0.004947
212.867000	0.496306	0.004963
212.738000	0.497951	0.004980
212.610000	0.499568	0.004996
212.482000	0.501168	0.005012
212.355000	0.502781	0.005028
212.229000	0.504391	0.005044
212.104000	0.506029	0.005060
211.979000	0.507707	0.005077
211.853000	0.509426	0.005094
211.726000	0.511136	0.005111
211.601000	0.512855	0.005129
211.477000	0.514574	0.005146
211.355000	0.516171	0.005162
211.232000	0.517885	0.005179
211.109000	0.519587	0.005196
210.987000	0.521240	0.005212
210.865000	0.522837	0.005228
210.743000	0.524363	0.005244
210.623000	0.525846	0.005258
210.503000	0.527287	0.005273
210.385000	0.528689	0.005287
210.266000	0.530087	0.005301
210.149000	0.531491	0.005315
210.031000	0.532905	0.005329
209.916000	0.534329	0.005343
209.801000	0.535800	0.005358
209.688000	0.537284	0.005373
209.576000	0.538774	0.005388
209.466000	0.540250	0.005403
209.358000	0.541723	0.005417
209.254000	0.543236	0.005432
209.153000	0.544691	0.005447
209.056000	0.546130	0.005461
208.959000	0.547541	0.005475
208.863000	0.548973	0.005490
208.764000	0.550346	0.005503
208.660000	0.551715	0.005517
208.552000	0.553102	0.005531
208.443000	0.554729	0.005547
208.334000	0.556194	0.005562
208.226000	0.557682	0.005577
208.119000	0.559219	0.005592
208.013000	0.560807	0.005608
207.905000	0.562449	0.005624
207.797000	0.564161	0.005642
207.689000	0.565922	0.005659
207.581000	0.567731	0.005677
207.475000	0.569580	0.005696
207.369000	0.571434	0.005714
207.262000	0.573328	0.005733
207.155000	0.575243	0.005752
207.046000	0.577154	0.005772
206.935000	0.579083	0.005791
206.822000	0.581045	0.005810
206.710000	0.583061	0.005831
206.599000	0.585135	0.005851
206.486000	0.587290	0.005873
206.372000	0.589579	0.005896
206.257000	0.592023	0.005920
206.142000	0.594659	0.005947
206.026000	0.597504	0.005975
205.909000	0.600580	0.006006
205.788000	0.603936	0.006039
205.669000	0.607402	0.006074
205.548000	0.611170	0.006112
205.428000	0.615129	0.006151
205.308000	0.619227	0.006192
205.188000	0.623412	0.006234
205.071000	0.627666	0.006277
204.954000	0.631979	0.006320
204.839000	0.636330	0.006363
204.724000	0.640697	0.006407
204.610000	0.645072	0.006451
204.497000	0.649453	0.006495
204.388000	0.653844	0.006538
204.277000	0.658229	0.006582
204.166000	0.662742	0.006627
204.056000	0.667136	0.006671
203.943000	0.671547	0.006715
203.830000	0.675982	0.006760
203.717000	0.680442	0.006804
203.603000	0.685023	0.006850
203.487000	0.689523	0.006895
203.366000	0.694011	0.006940
203.242000	0.698436	0.006984
203.114000	0.702781	0.007028
202.981000	0.707091	0.007071
202.843000	0.711300	0.007113
202.702000	0.715439	0.007154
202.560000	0.719527	0.007195
202.417000	0.723554	0.007236
202.274000	0.727578	0.007276
202.131000	0.731583	0.007316
201.988000	0.735604	0.007356
201.845000	0.739623	0.007396
201.702000	0.743417	0.007434
201.559000	0.747464	0.007475
201.417000	0.751539	0.007515
201.277000	0.755658	0.007557
201.136000	0.759833	0.007598
200.995000	0.764164	0.007642
200.855000	0.768474	0.007685
200.716000	0.772826	0.007728
200.579000	0.777196	0.007772
200.441000	0.781566	0.007816
200.302000	0.785887	0.007859
200.165000	0.790171	0.007902
200.029000	0.794488	0.007945
199.894000	0.798692	0.007987
199.759000	0.802916	0.008029
199.624000	0.807171	0.008072
199.491000	0.811471	0.008115
199.358000	0.815820	0.008158
199.225000	0.820229	0.008202
199.092000	0.824733	0.008247
198.958000	0.829386	0.008294
198.824000	0.834109	0.008341
198.688000	0.838968	0.008390
198.553000	0.843955	0.008440
198.416000	0.849083	0.008491
198.275000	0.854312	0.008543
198.133000	0.859642	0.008596
197.988000	0.865029	0.008650
197.841000	0.870462	0.008705
197.691000	0.875914	0.008759
197.540000	0.881353	0.008814
197.385000	0.886802	0.008868
197.229000	0.892254	0.008923
197.071000	0.897725	0.008977
196.912000	0.903193	0.009032
196.750000	0.908660	0.009087
196.587000	0.914125	0.009141
196.423000	0.919612	0.009196
196.259000	0.925287	0.009253
196.095000	0.931043	0.009310
195.932000	0.937040	0.009370
195.769000	0.943304	0.009433
195.609000	0.949841	0.009498
195.451000	0.956501	0.009565
195.294000	0.963630	0.009636
195.139000	0.971092	0.009711
194.984000	0.978864	0.009789
194.830000	0.986928	0.009869
194.675000	0.995288	0.009953
194.520000	1.003920	0.010039
194.363000	1.012850	0.010129
194.207000	1.022070	0.010221
194.054000	1.031550	0.010316
193.901000	1.041270	0.010413
193.748000	1.051250	0.010513
193.597000	1.061420	0.010614
193.443000	1.071760	0.010718
193.286000	1.082210	0.010822
