Temperature	Strain_p	Strain
308.441000	0.153653	0.001537
308.443000	0.153653	0.001537
308.442000	0.153608	0.001536
308.440000	0.153522	0.001535
308.435000	0.153385	0.001534
308.423000	0.153213	0.001532
308.405000	0.153007	0.001530
308.376000	0.152791	0.001528
308.343000	0.152612	0.001526
308.312000	0.152360	0.001524
308.286000	0.152162	0.001522
308.264000	0.151981	0.001520
308.245000	0.151836	0.001518
308.231000	0.151714	0.001517
308.221000	0.151659	0.001517
308.212000	0.151611	0.001516
308.204000	0.151583	0.001516
308.197000	0.151570	0.001516
308.190000	0.151564	0.001516
308.181000	0.151562	0.001516
308.170000	0.151542	0.001515
308.157000	0.151520	0.001515
308.143000	0.151488	0.001515
308.130000	0.151460	0.001515
308.115000	0.151451	0.001515
308.097000	0.151468	0.001515
308.077000	0.151506	0.001515
308.055000	0.151606	0.001516
308.033000	0.151692	0.001517
308.012000	0.151821	0.001518
307.995000	0.151971	0.001520
307.978000	0.152138	0.001521
307.963000	0.152322	0.001523
307.947000	0.152526	0.001525
307.927000	0.152738	0.001527
307.898000	0.152964	0.001530
307.867000	0.153192	0.001532
307.829000	0.153390	0.001534
307.789000	0.153545	0.001535
307.747000	0.153625	0.001536
307.700000	0.153621	0.001536
307.651000	0.153521	0.001535
307.609000	0.153316	0.001533
307.570000	0.153010	0.001530
307.532000	0.152628	0.001526
307.492000	0.152180	0.001522
307.452000	0.151701	0.001517
307.410000	0.151116	0.001511
307.368000	0.150580	0.001506
307.325000	0.150044	0.001500
307.285000	0.149552	0.001496
307.247000	0.149190	0.001492
307.210000	0.148793	0.001488
307.168000	0.148422	0.001484
307.121000	0.148097	0.001481
307.077000	0.147852	0.001479
307.036000	0.147662	0.001477
306.997000	0.147536	0.001475
306.960000	0.147481	0.001475
306.924000	0.147475	0.001475
306.889000	0.147517	0.001475
306.854000	0.147608	0.001476
306.820000	0.147716	0.001477
306.782000	0.147829	0.001478
306.741000	0.147923	0.001479
306.698000	0.147995	0.001480
306.653000	0.147818	0.001478
306.605000	0.147818	0.001478
306.558000	0.147773	0.001478
306.511000	0.147702	0.001477
306.462000	0.147634	0.001476
306.410000	0.147558	0.001476
306.358000	0.147474	0.001475
306.307000	0.147399	0.001474
306.254000	0.147301	0.001473
306.203000	0.147217	0.001472
306.148000	0.147096	0.001471
306.092000	0.146963	0.001470
306.034000	0.146838	0.001468
305.980000	0.146730	0.001467
305.932000	0.146611	0.001466
305.891000	0.146519	0.001465
305.857000	0.146421	0.001464
305.827000	0.146338	0.001463
305.793000	0.146250	0.001463
305.755000	0.146258	0.001463
305.710000	0.146178	0.001462
305.655000	0.146159	0.001462
305.593000	0.146163	0.001462
305.525000	0.146240	0.001462
305.454000	0.146378	0.001464
305.379000	0.146518	0.001465
305.298000	0.146635	0.001466
305.217000	0.146752	0.001468
305.133000	0.146884	0.001469
305.048000	0.146950	0.001470
304.961000	0.146995	0.001470
304.876000	0.147030	0.001470
304.796000	0.147033	0.001470
304.717000	0.146991	0.001470
304.641000	0.146894	0.001469
304.564000	0.146752	0.001468
304.489000	0.146557	0.001466
304.414000	0.146322	0.001463
304.342000	0.145958	0.001460
304.268000	0.145749	0.001457
304.196000	0.145561	0.001456
304.125000	0.145408	0.001454
304.054000	0.145307	0.001453
303.984000	0.145304	0.001453
303.914000	0.145265	0.001453
303.840000	0.145252	0.001453
303.768000	0.145253	0.001453
303.695000	0.145246	0.001452
303.621000	0.145193	0.001452
303.551000	0.145154	0.001452
303.487000	0.145101	0.001451
303.421000	0.145039	0.001450
303.351000	0.145002	0.001450
303.275000	0.144978	0.001450
303.190000	0.144988	0.001450
303.096000	0.145036	0.001450
302.997000	0.145110	0.001451
302.896000	0.144958	0.001450
302.798000	0.145075	0.001451
302.701000	0.145165	0.001452
302.606000	0.145274	0.001453
302.512000	0.145367	0.001454
302.424000	0.145495	0.001455
302.338000	0.145583	0.001456
302.252000	0.145633	0.001456
302.164000	0.145618	0.001456
302.075000	0.145544	0.001455
301.982000	0.145396	0.001454
301.886000	0.145196	0.001452
301.787000	0.144931	0.001449
301.688000	0.144610	0.001446
301.585000	0.144251	0.001443
301.482000	0.143878	0.001439
301.381000	0.143541	0.001435
301.279000	0.143232	0.001432
301.180000	0.142982	0.001430
301.080000	0.142709	0.001427
300.978000	0.142624	0.001426
300.873000	0.142571	0.001426
300.770000	0.142561	0.001426
300.670000	0.142572	0.001426
300.569000	0.142700	0.001427
300.467000	0.142766	0.001428
300.367000	0.142832	0.001428
300.270000	0.142879	0.001429
300.173000	0.142901	0.001429
300.078000	0.142859	0.001429
299.983000	0.142781	0.001428
299.886000	0.142679	0.001427
299.788000	0.142551	0.001426
299.690000	0.142422	0.001424
299.594000	0.142262	0.001423
299.497000	0.142108	0.001421
299.400000	0.141968	0.001420
299.302000	0.141823	0.001418
299.207000	0.141685	0.001417
299.117000	0.141589	0.001416
299.031000	0.141505	0.001415
298.948000	0.141454	0.001415
298.867000	0.141444	0.001414
298.791000	0.141722	0.001417
298.720000	0.141807	0.001418
298.650000	0.141930	0.001419
298.581000	0.142060	0.001421
298.514000	0.142158	0.001422
298.449000	0.142216	0.001422
298.379000	0.142252	0.001423
298.305000	0.142237	0.001422
298.228000	0.142184	0.001422
298.148000	0.142101	0.001421
298.064000	0.141993	0.001420
297.978000	0.141874	0.001419
297.887000	0.141737	0.001417
297.796000	0.141536	0.001415
297.704000	0.141417	0.001414
297.609000	0.141275	0.001413
297.509000	0.141200	0.001412
297.411000	0.141154	0.001412
297.311000	0.141154	0.001412
297.212000	0.141102	0.001411
297.115000	0.141205	0.001412
297.019000	0.141275	0.001413
296.928000	0.141351	0.001414
296.839000	0.141368	0.001414
296.751000	0.141326	0.001413
296.663000	0.141244	0.001412
296.576000	0.141139	0.001411
296.491000	0.141008	0.001410
296.410000	0.140844	0.001408
296.334000	0.140651	0.001407
296.263000	0.140448	0.001404
296.195000	0.140227	0.001402
296.127000	0.140006	0.001400
296.054000	0.139816	0.001398
295.977000	0.139697	0.001397
295.895000	0.139599	0.001396
295.811000	0.139564	0.001396
295.726000	0.139596	0.001396
295.639000	0.139736	0.001397
295.548000	0.139797	0.001398
295.455000	0.139878	0.001399
295.363000	0.139941	0.001399
295.273000	0.139965	0.001400
295.184000	0.139945	0.001399
295.094000	0.139909	0.001399
295.004000	0.139852	0.001399
294.915000	0.139780	0.001398
294.828000	0.139720	0.001397
294.740000	0.139664	0.001397
294.652000	0.139619	0.001396
294.559000	0.139603	0.001396
294.467000	0.139637	0.001396
294.376000	0.139666	0.001397
294.287000	0.139711	0.001397
294.196000	0.139732	0.001397
294.105000	0.139736	0.001397
294.013000	0.139721	0.001397
293.920000	0.139928	0.001399
293.825000	0.139853	0.001399
293.728000	0.139774	0.001398
293.629000	0.139644	0.001396
293.531000	0.139470	0.001395
293.432000	0.139228	0.001392
293.332000	0.138939	0.001389
293.230000	0.138617	0.001386
293.126000	0.138276	0.001383
293.018000	0.137933	0.001379
292.906000	0.137595	0.001376
292.792000	0.137257	0.001373
