Temperature	Strain_p	Strain
299.581000	0.025509	0.000255
299.580000	0.025509	0.000255
299.576000	0.025481	0.000255
299.569000	0.025422	0.000254
299.558000	0.025338	0.000253
299.548000	0.025236	0.000252
299.534000	0.025091	0.000251
299.518000	0.024976	0.000250
299.502000	0.024869	0.000249
299.484000	0.024821	0.000248
299.467000	0.024895	0.000249
299.452000	0.025030	0.000250
299.439000	0.025198	0.000252
299.427000	0.025387	0.000254
299.416000	0.025602	0.000256
299.405000	0.025787	0.000258
299.392000	0.025981	0.000260
299.380000	0.026154	0.000262
299.367000	0.026297	0.000263
299.351000	0.026417	0.000264
299.336000	0.026497	0.000265
299.328000	0.026528	0.000265
299.324000	0.026478	0.000265
299.323000	0.026363	0.000264
299.323000	0.026189	0.000262
299.325000	0.025934	0.000259
299.331000	0.025627	0.000256
299.343000	0.025294	0.000253
299.361000	0.024950	0.000250
299.375000	0.024651	0.000247
299.387000	0.024360	0.000244
299.398000	0.024143	0.000241
299.406000	0.024001	0.000240
299.414000	0.023878	0.000239
299.422000	0.023836	0.000238
299.425000	0.023819	0.000238
299.423000	0.023814	0.000238
299.419000	0.023821	0.000238
299.410000	0.023848	0.000238
299.399000	0.023886	0.000239
299.384000	0.023956	0.000240
299.365000	0.024016	0.000240
299.343000	0.024073	0.000241
299.320000	0.024136	0.000241
299.300000	0.024215	0.000242
299.282000	0.024301	0.000243
299.263000	0.024417	0.000244
299.244000	0.024542	0.000245
299.226000	0.024666	0.000247
299.210000	0.024777	0.000248
299.188000	0.024873	0.000249
299.163000	0.024942	0.000249
299.130000	0.024893	0.000249
299.092000	0.024747	0.000247
299.050000	0.024535	0.000245
299.009000	0.024277	0.000243
298.968000	0.024000	0.000240
298.927000	0.023703	0.000237
298.889000	0.023411	0.000234
298.850000	0.023112	0.000231
298.808000	0.022830	0.000228
298.758000	0.022577	0.000226
298.706000	0.022360	0.000224
298.650000	0.022187	0.000222
298.592000	0.022043	0.000220
298.533000	0.021943	0.000219
298.466000	0.021907	0.000219
298.398000	0.021957	0.000220
298.329000	0.022022	0.000220
298.259000	0.022074	0.000221
298.194000	0.022135	0.000221
298.137000	0.022157	0.000222
298.084000	0.022147	0.000221
298.033000	0.022127	0.000221
297.987000	0.022072	0.000221
297.941000	0.021998	0.000220
297.895000	0.021940	0.000219
297.853000	0.021907	0.000219
297.816000	0.021899	0.000219
297.782000	0.021899	0.000219
297.746000	0.021921	0.000219
297.710000	0.021939	0.000219
297.674000	0.021916	0.000219
297.637000	0.021903	0.000219
297.598000	0.021887	0.000219
297.557000	0.021900	0.000219
297.518000	0.021957	0.000220
297.482000	0.022030	0.000220
297.444000	0.022115	0.000221
297.403000	0.022173	0.000222
297.358000	0.022231	0.000222
297.315000	0.022222	0.000222
297.267000	0.022137	0.000221
297.213000	0.022000	0.000220
297.156000	0.021815	0.000218
297.098000	0.021633	0.000216
297.034000	0.021436	0.000214
296.963000	0.021233	0.000212
296.888000	0.021035	0.000210
296.813000	0.020856	0.000209
296.736000	0.020701	0.000207
296.657000	0.020610	0.000206
296.574000	0.020526	0.000205
296.484000	0.020469	0.000205
296.398000	0.020450	0.000204
296.309000	0.020450	0.000204
296.220000	0.020542	0.000205
296.131000	0.020642	0.000206
296.043000	0.020770	0.000208
295.961000	0.020876	0.000209
295.883000	0.020891	0.000209
295.808000	0.020928	0.000209
295.733000	0.020949	0.000209
295.659000	0.020958	0.000210
295.592000	0.020961	0.000210
295.532000	0.020953	0.000210
295.479000	0.020921	0.000209
295.430000	0.020892	0.000209
295.372000	0.020861	0.000209
295.305000	0.020831	0.000208
295.236000	0.020820	0.000208
295.167000	0.020841	0.000208
295.097000	0.020936	0.000209
295.025000	0.021068	0.000211
294.950000	0.021291	0.000213
294.872000	0.021506	0.000215
294.795000	0.021755	0.000218
294.723000	0.021983	0.000220
294.657000	0.022148	0.000221
294.592000	0.022222	0.000222
294.527000	0.022248	0.000222
294.463000	0.022154	0.000222
294.398000	0.021985	0.000220
294.331000	0.021776	0.000218
294.266000	0.021493	0.000215
294.197000	0.021181	0.000212
294.136000	0.020835	0.000208
294.081000	0.020466	0.000205
294.028000	0.020078	0.000201
293.973000	0.019667	0.000197
293.919000	0.019242	0.000192
293.864000	0.018820	0.000188
293.806000	0.018452	0.000185
293.747000	0.018123	0.000181
293.687000	0.017862	0.000179
293.623000	0.017628	0.000176
293.557000	0.017420	0.000174
293.488000	0.017252	0.000173
293.420000	0.017119	0.000171
293.347000	0.017033	0.000170
293.265000	0.017023	0.000170
293.179000	0.017102	0.000171
293.088000	0.017253	0.000173
292.991000	0.017455	0.000175
292.888000	0.017698	0.000177
292.782000	0.017944	0.000179
292.668000	0.018188	0.000182
292.548000	0.018416	0.000184
292.425000	0.018594	0.000186
292.307000	0.018744	0.000187
292.193000	0.018879	0.000189
292.079000	0.019013	0.000190
291.965000	0.019115	0.000191
291.855000	0.019156	0.000192
291.750000	0.019154	0.000192
291.651000	0.019094	0.000191
291.554000	0.018950	0.000190
291.467000	0.018724	0.000187
291.389000	0.018458	0.000185
291.318000	0.018134	0.000181
291.248000	0.017776	0.000178
291.173000	0.017397	0.000174
291.097000	0.017012	0.000170
291.022000	0.016607	0.000166
290.946000	0.016229	0.000162
290.870000	0.015883	0.000159
290.792000	0.015549	0.000155
290.712000	0.015255	0.000153
290.633000	0.015033	0.000150
290.554000	0.014879	0.000149
290.477000	0.014791	0.000148
290.396000	0.014787	0.000148
290.313000	0.014957	0.000150
290.225000	0.015154	0.000152
290.131000	0.015422	0.000154
290.034000	0.015685	0.000157
289.936000	0.015904	0.000159
289.839000	0.016094	0.000161
289.740000	0.016281	0.000163
289.638000	0.016447	0.000164
289.527000	0.016554	0.000166
289.407000	0.016685	0.000167
289.281000	0.016784	0.000168
289.159000	0.016849	0.000168
289.041000	0.016876	0.000169
288.929000	0.016851	0.000169
288.819000	0.016797	0.000168
288.718000	0.016699	0.000167
288.618000	0.016570	0.000166
288.515000	0.016400	0.000164
288.411000	0.016266	0.000163
288.305000	0.016062	0.000161
288.197000	0.015859	0.000159
288.088000	0.015660	0.000157
287.980000	0.015420	0.000154
287.871000	0.015202	0.000152
287.761000	0.014968	0.000150
287.653000	0.014732	0.000147
287.542000	0.014500	0.000145
287.429000	0.014303	0.000143
287.321000	0.014137	0.000141
287.209000	0.013990	0.000140
287.089000	0.013852	0.000139
286.965000	0.013740	0.000137
286.840000	0.013645	0.000136
286.710000	0.013560	0.000136
286.581000	0.013516	0.000135
286.453000	0.013488	0.000135
286.326000	0.013465	0.000135
286.201000	0.013470	0.000135
286.077000	0.013476	0.000135
285.949000	0.013460	0.000135
285.822000	0.013386	0.000134
285.698000	0.013259	0.000133
285.582000	0.013024	0.000130
285.475000	0.012787	0.000128
285.371000	0.012493	0.000125
285.268000	0.012200	0.000122
285.165000	0.011921	0.000119
285.066000	0.011666	0.000117
284.970000	0.011446	0.000114
284.876000	0.011279	0.000113
284.789000	0.011135	0.000111
284.702000	0.011013	0.000110
284.615000	0.010959	0.000110
284.523000	0.010942	0.000109
284.428000	0.010987	0.000110
284.336000	0.011099	0.000111
284.245000	0.011239	0.000112
284.151000	0.011460	0.000115
284.054000	0.011695	0.000117
283.953000	0.011971	0.000120
283.847000	0.012206	0.000122
283.736000	0.012417	0.000124
283.617000	0.012525	0.000125
283.496000	0.012579	0.000126
283.379000	0.012574	0.000126
283.260000	0.012510	0.000125
283.139000	0.012408	0.000124
283.017000	0.012267	0.000123
282.897000	0.012059	0.000121
282.777000	0.011807	0.000118
282.656000	0.011512	0.000115
282.533000	0.011224	0.000112
282.406000	0.010938	0.000109
282.273000	0.010691	0.000107
282.144000	0.010454	0.000105
282.019000	0.010275	0.000103
281.900000	0.010102	0.000101
281.782000	0.009976	0.000100
281.664000	0.009828	0.000098
281.542000	0.009659	0.000097
281.415000	0.009509	0.000095
281.289000	0.009342	0.000093
281.162000	0.009178	0.000092
281.036000	0.008997	0.000090
280.914000	0.008822	0.000088
280.796000	0.008631	0.000086
280.678000	0.008452	0.000085
280.558000	0.008282	0.000083
280.434000	0.008098	0.000081
280.305000	0.007939	0.000079
280.172000	0.007789	0.000078
280.039000	0.007685	0.000077
279.909000	0.007621	0.000076
279.783000	0.007623	0.000076
279.659000	0.007672	0.000077
279.536000	0.007773	0.000078
279.414000	0.007874	0.000079
279.294000	0.007996	0.000080
279.176000	0.008102	0.000081
279.056000	0.008186	0.000082
278.933000	0.008173	0.000082
278.810000	0.008129	0.000081
278.685000	0.008026	0.000080
278.557000	0.007888	0.000079
278.430000	0.007718	0.000077
278.304000	0.007497	0.000075
278.176000	0.007255	0.000073
278.048000	0.007002	0.000070
277.921000	0.006737	0.000067
277.795000	0.006452	0.000065
277.668000	0.006158	0.000062
277.542000	0.005863	0.000059
277.417000	0.005614	0.000056
277.292000	0.005391	0.000054
277.171000	0.005214	0.000052
277.053000	0.005063	0.000051
276.935000	0.004925	0.000049
276.817000	0.004836	0.000048
276.700000	0.004702	0.000047
276.584000	0.004608	0.000046
276.472000	0.004540	0.000045
276.357000	0.004460	0.000045
276.235000	0.004410	0.000044
276.112000	0.004365	0.000044
275.990000	0.004333	0.000043
275.868000	0.004292	0.000043
275.746000	0.004257	0.000043
275.620000	0.004180	0.000042
275.493000	0.004059	0.000041
275.369000	0.003911	0.000039
275.243000	0.003761	0.000038
275.115000	0.003625	0.000036
274.987000	0.003482	0.000035
274.860000	0.003336	0.000033
274.734000	0.003174	0.000032
274.610000	0.003013	0.000030
274.489000	0.002858	0.000029
274.374000	0.002649	0.000026
274.256000	0.002426	0.000024
274.134000	0.002181	0.000022
274.012000	0.001931	0.000019
273.888000	0.001694	0.000017
273.763000	0.001486	0.000015
273.636000	0.001291	0.000013
273.512000	0.001104	0.000011
273.390000	0.000932	0.000009
273.270000	0.000805	0.000008
273.154000	0.000740	0.000007
273.040000	0.000725	0.000007
272.923000	0.000759	0.000008
272.801000	0.000858	0.000009
272.673000	0.001016	0.000010
272.547000	0.001196	0.000012
272.425000	0.001399	0.000014
272.310000	0.001563	0.000016
272.201000	0.001694	0.000017
272.093000	0.001797	0.000018
271.989000	0.001823	0.000018
271.893000	0.001803	0.000018
271.801000	0.001711	0.000017
271.713000	0.001560	0.000016
271.631000	0.001354	0.000014
271.546000	0.001122	0.000011
271.457000	0.000856	0.000009
271.365000	0.000588	0.000006
271.275000	0.000302	0.000003
271.188000	0.000034	0.000000
271.103000	-0.000242	-0.000002
271.019000	-0.000466	-0.000005
270.936000	-0.000660	-0.000007
270.854000	-0.000828	-0.000008
270.770000	-0.001000	-0.000010
270.684000	-0.001171	-0.000012
270.591000	-0.001355	-0.000014
270.494000	-0.001551	-0.000016
270.392000	-0.001794	-0.000018
270.291000	-0.001984	-0.000020
270.190000	-0.002212	-0.000022
270.086000	-0.002427	-0.000024
269.979000	-0.002641	-0.000026
269.872000	-0.002882	-0.000029
269.765000	-0.003083	-0.000031
269.656000	-0.003277	-0.000033
269.546000	-0.003471	-0.000035
269.435000	-0.003619	-0.000036
269.323000	-0.003715	-0.000037
269.211000	-0.003756	-0.000038
269.096000	-0.003731	-0.000037
268.981000	-0.003616	-0.000036
268.863000	-0.003459	-0.000035
268.743000	-0.003234	-0.000032
268.622000	-0.003007	-0.000030
268.502000	-0.002780	-0.000028
268.383000	-0.002600	-0.000026
268.265000	-0.002469	-0.000025
268.143000	-0.002406	-0.000024
268.027000	-0.002378	-0.000024
267.913000	-0.002439	-0.000024
267.794000	-0.002565	-0.000026
267.673000	-0.002733	-0.000027
267.556000	-0.002949	-0.000029
267.439000	-0.003206	-0.000032
267.326000	-0.003503	-0.000035
267.214000	-0.003796	-0.000038
267.093000	-0.004064	-0.000041
266.966000	-0.004286	-0.000043
266.834000	-0.004485	-0.000045
266.701000	-0.004668	-0.000047
266.568000	-0.004810	-0.000048
266.436000	-0.004946	-0.000049
266.303000	-0.005056	-0.000051
266.168000	-0.005114	-0.000051
266.033000	-0.005199	-0.000052
265.900000	-0.005308	-0.000053
265.767000	-0.005452	-0.000055
265.635000	-0.005586	-0.000056
265.508000	-0.005732	-0.000057
265.382000	-0.005849	-0.000058
265.256000	-0.005963	-0.000060
265.128000	-0.006058	-0.000061
264.997000	-0.006150	-0.000061
264.861000	-0.006250	-0.000062
264.721000	-0.006337	-0.000063
264.584000	-0.006409	-0.000064
264.450000	-0.006491	-0.000065
264.317000	-0.006532	-0.000065
264.186000	-0.006579	-0.000066
264.054000	-0.006600	-0.000066
263.920000	-0.006601	-0.000066
263.785000	-0.006617	-0.000066
263.650000	-0.006663	-0.000067
263.516000	-0.006750	-0.000067
263.379000	-0.006892	-0.000069
263.237000	-0.007050	-0.000071
263.089000	-0.007227	-0.000072
262.935000	-0.007462	-0.000075
262.778000	-0.007707	-0.000077
262.622000	-0.007939	-0.000079
262.471000	-0.008163	-0.000082
262.323000	-0.008382	-0.000084
262.174000	-0.008617	-0.000086
262.019000	-0.008820	-0.000088
261.859000	-0.009014	-0.000090
261.701000	-0.009180	-0.000092
261.546000	-0.009293	-0.000093
261.396000	-0.009369	-0.000094
261.248000	-0.009442	-0.000094
261.101000	-0.009545	-0.000095
260.958000	-0.009665	-0.000097
260.819000	-0.009815	-0.000098
260.683000	-0.009991	-0.000100
260.549000	-0.010193	-0.000102
260.414000	-0.010413	-0.000104
260.281000	-0.010658	-0.000107
260.149000	-0.010891	-0.000109
260.015000	-0.011116	-0.000111
259.882000	-0.011330	-0.000113
259.752000	-0.011505	-0.000115
259.625000	-0.011665	-0.000117
259.500000	-0.011774	-0.000118
259.375000	-0.011844	-0.000118
259.253000	-0.011867	-0.000119
259.128000	-0.011855	-0.000119
259.003000	-0.011763	-0.000118
258.881000	-0.011698	-0.000117
258.757000	-0.011590	-0.000116
258.628000	-0.011487	-0.000115
258.497000	-0.011393	-0.000114
258.365000	-0.011344	-0.000113
258.233000	-0.011335	-0.000113
258.099000	-0.011370	-0.000114
257.959000	-0.011455	-0.000115
257.819000	-0.011566	-0.000116
257.680000	-0.011721	-0.000117
257.540000	-0.011899	-0.000119
257.398000	-0.012083	-0.000121
257.259000	-0.012279	-0.000123
257.121000	-0.012438	-0.000124
256.986000	-0.012593	-0.000126
256.857000	-0.012723	-0.000127
256.730000	-0.012797	-0.000128
256.602000	-0.012827	-0.000128
256.472000	-0.012843	-0.000128
256.344000	-0.012717	-0.000127
256.220000	-0.012605	-0.000126
256.093000	-0.012472	-0.000125
255.967000	-0.012379	-0.000124
255.838000	-0.012328	-0.000123
255.711000	-0.012363	-0.000124
255.588000	-0.012473	-0.000125
255.468000	-0.012673	-0.000127
255.347000	-0.012912	-0.000129
255.226000	-0.013222	-0.000132
255.107000	-0.013576	-0.000136
254.990000	-0.013957	-0.000140
254.876000	-0.014365	-0.000144
254.763000	-0.014800	-0.000148
254.648000	-0.015255	-0.000153
254.530000	-0.015673	-0.000157
254.410000	-0.016052	-0.000161
254.288000	-0.016374	-0.000164
254.161000	-0.016635	-0.000166
254.032000	-0.016826	-0.000168
253.906000	-0.017000	-0.000170
253.781000	-0.017146	-0.000171
253.660000	-0.017279	-0.000173
253.542000	-0.017395	-0.000174
253.423000	-0.017503	-0.000175
253.302000	-0.017594	-0.000176
253.181000	-0.017633	-0.000176
253.061000	-0.017624	-0.000176
252.941000	-0.017600	-0.000176
252.828000	-0.017539	-0.000175
252.716000	-0.017474	-0.000175
252.610000	-0.017395	-0.000174
252.506000	-0.017343	-0.000173
252.403000	-0.017255	-0.000173
252.303000	-0.017238	-0.000172
252.195000	-0.017237	-0.000172
252.082000	-0.017258	-0.000173
251.965000	-0.017314	-0.000173
251.843000	-0.017389	-0.000174
251.715000	-0.017491	-0.000175
251.586000	-0.017626	-0.000176
251.461000	-0.017806	-0.000178
251.336000	-0.018037	-0.000180
251.214000	-0.018299	-0.000183
251.097000	-0.018587	-0.000186
250.982000	-0.018906	-0.000189
250.870000	-0.019220	-0.000192
250.761000	-0.019519	-0.000195
250.653000	-0.019817	-0.000198
250.540000	-0.020098	-0.000201
250.424000	-0.020341	-0.000203
250.304000	-0.020572	-0.000206
250.181000	-0.020775	-0.000208
250.057000	-0.020948	-0.000209
249.936000	-0.021125	-0.000211
249.817000	-0.021245	-0.000212
249.698000	-0.021295	-0.000213
249.582000	-0.021236	-0.000212
249.465000	-0.021162	-0.000212
249.348000	-0.021028	-0.000210
249.230000	-0.020884	-0.000209
249.113000	-0.020721	-0.000207
248.999000	-0.020561	-0.000206
248.888000	-0.020408	-0.000204
248.780000	-0.020263	-0.000203
248.675000	-0.020136	-0.000201
248.569000	-0.020022	-0.000200
248.458000	-0.019946	-0.000199
248.338000	-0.019894	-0.000199
248.209000	-0.019922	-0.000199
248.075000	-0.019996	-0.000200
247.944000	-0.020150	-0.000202
247.815000	-0.020348	-0.000203
247.689000	-0.020610	-0.000206
247.565000	-0.020904	-0.000209
247.443000	-0.021201	-0.000212
247.321000	-0.021522	-0.000215
247.200000	-0.021877	-0.000219
247.083000	-0.022252	-0.000223
246.968000	-0.022626	-0.000226
246.857000	-0.023060	-0.000231
246.743000	-0.023453	-0.000235
246.624000	-0.023883	-0.000239
246.502000	-0.024333	-0.000243
246.375000	-0.024783	-0.000248
246.243000	-0.025216	-0.000252
246.110000	-0.025606	-0.000256
245.978000	-0.025938	-0.000259
245.845000	-0.026190	-0.000262
245.716000	-0.026396	-0.000264
245.587000	-0.026526	-0.000265
245.457000	-0.026625	-0.000266
245.330000	-0.026671	-0.000267
245.205000	-0.026639	-0.000266
245.084000	-0.026563	-0.000266
244.960000	-0.026457	-0.000265
244.833000	-0.026276	-0.000263
244.702000	-0.026108	-0.000261
244.567000	-0.025974	-0.000260
244.433000	-0.025841	-0.000258
244.301000	-0.025807	-0.000258
244.169000	-0.025809	-0.000258
244.040000	-0.025865	-0.000259
243.907000	-0.025956	-0.000260
243.770000	-0.026092	-0.000261
243.631000	-0.026237	-0.000262
243.487000	-0.026439	-0.000264
243.342000	-0.026626	-0.000266
243.200000	-0.026813	-0.000268
243.058000	-0.026979	-0.000270
242.921000	-0.027045	-0.000270
242.787000	-0.027127	-0.000271
242.649000	-0.027198	-0.000272
242.515000	-0.027252	-0.000273
242.384000	-0.027280	-0.000273
242.257000	-0.027313	-0.000273
242.131000	-0.027389	-0.000274
242.005000	-0.027505	-0.000275
241.878000	-0.027656	-0.000277
241.749000	-0.027826	-0.000278
241.623000	-0.028004	-0.000280
241.496000	-0.028188	-0.000282
241.371000	-0.028374	-0.000284
241.250000	-0.028540	-0.000285
241.130000	-0.028680	-0.000287
241.010000	-0.028796	-0.000288
240.890000	-0.028909	-0.000289
240.774000	-0.029015	-0.000290
240.661000	-0.029089	-0.000291
240.550000	-0.029153	-0.000292
240.436000	-0.029182	-0.000292
240.317000	-0.029249	-0.000292
240.194000	-0.029310	-0.000293
240.062000	-0.029414	-0.000294
239.928000	-0.029518	-0.000295
239.794000	-0.029654	-0.000297
239.661000	-0.029838	-0.000298
239.527000	-0.030061	-0.000301
239.389000	-0.030297	-0.000303
239.247000	-0.030560	-0.000306
239.105000	-0.030862	-0.000309
238.962000	-0.031166	-0.000312
238.827000	-0.031473	-0.000315
238.699000	-0.031773	-0.000318
238.577000	-0.032060	-0.000321
238.458000	-0.032302	-0.000323
238.343000	-0.032517	-0.000325
238.230000	-0.032697	-0.000327
238.121000	-0.032821	-0.000328
238.015000	-0.032898	-0.000329
237.907000	-0.032960	-0.000330
