Temperature	Strain_p	Strain
307.380000	0.252202	0.002522
307.381000	0.252202	0.002522
307.382000	0.252060	0.002521
307.384000	0.251815	0.002518
307.385000	0.251481	0.002515
307.384000	0.251092	0.002511
307.383000	0.250644	0.002506
307.380000	0.250140	0.002501
307.373000	0.249598	0.002496
307.365000	0.249048	0.002490
307.358000	0.248580	0.002486
307.351000	0.248355	0.002484
307.342000	0.248213	0.002482
307.334000	0.248161	0.002482
307.325000	0.248146	0.002481
307.316000	0.248129	0.002481
307.308000	0.248192	0.002482
307.298000	0.248345	0.002483
307.285000	0.248598	0.002486
307.268000	0.248946	0.002489
307.250000	0.249354	0.002494
307.231000	0.249781	0.002498
307.210000	0.250203	0.002502
307.192000	0.250557	0.002506
307.173000	0.250841	0.002508
307.154000	0.251042	0.002510
307.134000	0.251178	0.002512
307.114000	0.251260	0.002513
307.089000	0.251307	0.002513
307.062000	0.251343	0.002513
307.034000	0.251318	0.002513
307.003000	0.251249	0.002512
306.969000	0.251115	0.002511
306.932000	0.250907	0.002509
306.891000	0.250634	0.002506
306.848000	0.250335	0.002503
306.802000	0.250036	0.002500
306.752000	0.249711	0.002497
306.701000	0.249421	0.002494
306.651000	0.249185	0.002492
306.600000	0.249021	0.002490
306.547000	0.248923	0.002489
306.494000	0.248870	0.002489
306.442000	0.248807	0.002488
306.391000	0.248744	0.002487
306.340000	0.248649	0.002486
306.289000	0.248527	0.002485
306.239000	0.248416	0.002484
306.190000	0.248294	0.002483
306.145000	0.248279	0.002483
306.098000	0.248431	0.002484
306.051000	0.248552	0.002486
306.004000	0.248658	0.002487
305.955000	0.248545	0.002485
305.904000	0.248261	0.002483
305.851000	0.247921	0.002479
305.798000	0.247496	0.002475
305.743000	0.247010	0.002470
305.689000	0.246497	0.002465
305.636000	0.245946	0.002459
305.581000	0.245410	0.002454
305.522000	0.244887	0.002449
305.460000	0.244374	0.002444
305.398000	0.243870	0.002439
305.333000	0.243369	0.002434
305.269000	0.242869	0.002429
305.203000	0.242440	0.002424
305.135000	0.242046	0.002420
305.067000	0.242009	0.002420
304.999000	0.242143	0.002421
304.931000	0.242484	0.002425
304.863000	0.242932	0.002429
304.794000	0.243440	0.002434
304.726000	0.244023	0.002440
304.653000	0.244598	0.002446
304.579000	0.245148	0.002451
304.503000	0.245666	0.002457
304.426000	0.246131	0.002461
304.348000	0.246541	0.002465
304.271000	0.246881	0.002469
304.194000	0.247137	0.002471
304.114000	0.247261	0.002473
304.032000	0.247242	0.002472
303.947000	0.247054	0.002471
303.861000	0.246694	0.002467
303.775000	0.246213	0.002462
303.686000	0.245656	0.002457
303.596000	0.245078	0.002451
303.506000	0.244486	0.002445
303.413000	0.243881	0.002439
303.319000	0.243304	0.002433
303.225000	0.242775	0.002428
303.131000	0.242298	0.002423
303.038000	0.241944	0.002419
302.948000	0.241716	0.002417
302.856000	0.241601	0.002416
302.766000	0.241553	0.002416
302.674000	0.241573	0.002416
302.583000	0.241651	0.002417
302.491000	0.241814	0.002418
302.398000	0.242065	0.002421
302.304000	0.242389	0.002424
302.211000	0.242770	0.002428
302.118000	0.243158	0.002432
