Temperature	Strain_p	Strain
304.546000	0.612387	0.006124
304.542000	0.612387	0.006124
304.530000	0.612441	0.006124
304.516000	0.612557	0.006126
304.503000	0.612706	0.006127
304.489000	0.613035	0.006130
304.474000	0.613203	0.006132
304.456000	0.613376	0.006134
304.438000	0.613504	0.006135
304.419000	0.613574	0.006136
304.399000	0.613610	0.006136
304.380000	0.613586	0.006136
304.362000	0.613494	0.006135
304.344000	0.613355	0.006134
304.327000	0.613170	0.006132
304.302000	0.612966	0.006130
304.274000	0.612789	0.006128
304.245000	0.612616	0.006126
304.215000	0.612493	0.006125
304.184000	0.612425	0.006124
304.151000	0.612399	0.006124
304.118000	0.612496	0.006125
304.086000	0.612686	0.006127
304.055000	0.612973	0.006130
304.024000	0.613381	0.006134
303.993000	0.613744	0.006137
303.965000	0.614119	0.006141
303.938000	0.614491	0.006145
303.911000	0.614784	0.006148
303.883000	0.615014	0.006150
303.850000	0.615182	0.006152
303.813000	0.615280	0.006153
303.775000	0.615339	0.006153
303.741000	0.615360	0.006154
303.710000	0.615343	0.006153
303.682000	0.615160	0.006152
303.657000	0.615011	0.006150
303.631000	0.614811	0.006148
303.599000	0.614556	0.006146
303.571000	0.614270	0.006143
303.540000	0.613986	0.006140
303.507000	0.613658	0.006137
303.472000	0.613321	0.006133
303.435000	0.612990	0.006130
303.398000	0.612870	0.006129
303.361000	0.612531	0.006125
303.323000	0.612258	0.006123
303.285000	0.612007	0.006120
303.243000	0.611759	0.006118
303.193000	0.611522	0.006115
303.136000	0.611302	0.006113
303.074000	0.611234	0.006112
303.010000	0.610992	0.006110
302.943000	0.610706	0.006107
302.877000	0.610200	0.006102
302.812000	0.609870	0.006099
302.748000	0.609557	0.006096
302.686000	0.609218	0.006092
302.628000	0.609151	0.006092
302.573000	0.608925	0.006089
302.517000	0.608751	0.006088
302.461000	0.608638	0.006086
302.404000	0.608592	0.006086
302.345000	0.608556	0.006086
302.285000	0.608547	0.006085
302.223000	0.608583	0.006086
302.158000	0.608662	0.006087
302.093000	0.608801	0.006088
302.030000	0.608925	0.006089
301.962000	0.609071	0.006091
301.892000	0.609227	0.006092
301.819000	0.609382	0.006094
301.745000	0.609556	0.006096
301.663000	0.609708	0.006097
301.578000	0.609903	0.006099
301.494000	0.610147	0.006101
301.416000	0.610365	0.006104
301.345000	0.610541	0.006105
301.279000	0.610725	0.006107
301.211000	0.610750	0.006108
301.145000	0.610669	0.006107
301.081000	0.610477	0.006105
301.016000	0.610170	0.006102
300.949000	0.609842	0.006098
300.882000	0.609468	0.006095
300.813000	0.609068	0.006091
300.742000	0.608653	0.006087
300.668000	0.608247	0.006082
300.591000	0.607865	0.006079
300.513000	0.607531	0.006075
300.440000	0.607254	0.006073
300.369000	0.607046	0.006070
300.300000	0.606879	0.006069
300.228000	0.606768	0.006068
300.158000	0.606735	0.006067
300.087000	0.606778	0.006068
300.013000	0.606909	0.006069
299.937000	0.607224	0.006072
299.857000	0.607417	0.006074
299.779000	0.607630	0.006076
299.698000	0.607851	0.006079
299.614000	0.608092	0.006081
299.527000	0.608333	0.006083
299.438000	0.608567	0.006086
299.347000	0.608819	0.006088
299.255000	0.609052	0.006091
299.164000	0.609263	0.006093
299.069000	0.609431	0.006094
298.967000	0.609571	0.006096
298.860000	0.609689	0.006097
298.754000	0.609887	0.006099
298.650000	0.609944	0.006099
298.549000	0.609950	0.006100
298.447000	0.609915	0.006099
298.343000	0.609866	0.006099
298.247000	0.609792	0.006098
298.151000	0.609643	0.006096
298.057000	0.609466	0.006095
297.962000	0.609227	0.006092
297.869000	0.608938	0.006089
297.778000	0.608582	0.006086
297.687000	0.608196	0.006082
297.594000	0.607811	0.006078
297.503000	0.607442	0.006074
297.420000	0.607128	0.006071
297.343000	0.606889	0.006069
297.268000	0.606729	0.006067
297.195000	0.606656	0.006067
297.122000	0.606650	0.006067
297.049000	0.606430	0.006064
296.976000	0.606529	0.006065
296.903000	0.606708	0.006067
296.826000	0.606928	0.006069
296.748000	0.607185	0.006072
296.667000	0.607447	0.006074
296.586000	0.607819	0.006078
296.504000	0.608076	0.006081
296.422000	0.608296	0.006083
296.340000	0.608470	0.006085
296.258000	0.608578	0.006086
296.173000	0.608613	0.006086
296.089000	0.608577	0.006086
296.007000	0.608448	0.006084
295.920000	0.608225	0.006082
295.838000	0.607916	0.006079
295.756000	0.607523	0.006075
295.672000	0.607049	0.006070
295.583000	0.606535	0.006065
295.495000	0.606007	0.006060
295.409000	0.605535	0.006055
295.321000	0.605057	0.006051
295.230000	0.604606	0.006046
295.134000	0.604235	0.006042
295.036000	0.603960	0.006040
294.938000	0.603951	0.006040
294.841000	0.603814	0.006038
294.743000	0.603698	0.006037
294.647000	0.603608	0.006036
294.552000	0.603550	0.006036
294.459000	0.603495	0.006035
294.367000	0.603451	0.006035
294.277000	0.603409	0.006034
294.188000	0.603386	0.006034
294.103000	0.603390	0.006034
294.017000	0.603435	0.006034
293.932000	0.603489	0.006035
293.843000	0.603556	0.006036
293.753000	0.603615	0.006036
293.663000	0.603872	0.006039
293.570000	0.603993	0.006040
293.478000	0.604097	0.006041
293.382000	0.604201	0.006042
293.281000	0.604331	0.006043
293.174000	0.604487	0.006045
293.062000	0.604607	0.006046
292.950000	0.604702	0.006047
292.835000	0.604780	0.006048
292.716000	0.604839	0.006048
292.592000	0.604890	0.006049
292.469000	0.604947	0.006049
292.349000	0.605010	0.006050
292.234000	0.605083	0.006051
292.122000	0.605158	0.006052
292.013000	0.605224	0.006052
291.910000	0.605281	0.006053
291.806000	0.605319	0.006053
291.701000	0.605343	0.006053
291.593000	0.605470	0.006055
291.490000	0.605482	0.006055
291.390000	0.605468	0.006055
291.286000	0.605459	0.006055
291.181000	0.605442	0.006054
291.075000	0.605473	0.006055
290.969000	0.605495	0.006055
290.863000	0.605484	0.006055
290.755000	0.605442	0.006054
290.648000	0.605330	0.006053
290.543000	0.605191	0.006052
290.436000	0.604998	0.006050
290.327000	0.604749	0.006047
290.217000	0.604438	0.006044
290.105000	0.604082	0.006041
289.992000	0.603695	0.006037
289.875000	0.603277	0.006033
289.754000	0.602833	0.006028
289.630000	0.602408	0.006024
289.504000	0.602006	0.006020
289.374000	0.601616	0.006016
289.243000	0.601289	0.006013
289.112000	0.601022	0.006010
288.980000	0.600685	0.006007
288.849000	0.600493	0.006005
288.717000	0.600386	0.006004
288.587000	0.600303	0.006003
288.451000	0.600219	0.006002
288.313000	0.600135	0.006001
288.175000	0.600067	0.006001
288.035000	0.600003	0.006000
287.896000	0.599949	0.005999
287.758000	0.599909	0.005999
287.623000	0.599896	0.005999
287.492000	0.599877	0.005999
287.364000	0.599860	0.005999
287.239000	0.599816	0.005998
287.114000	0.599768	0.005998
286.988000	0.599593	0.005996
286.860000	0.599493	0.005995
286.731000	0.599396	0.005994
286.602000	0.599307	0.005993
286.471000	0.599528	0.005995
286.339000	0.599506	0.005995
286.207000	0.599465	0.005995
286.074000	0.599438	0.005994
285.940000	0.599413	0.005994
285.801000	0.599406	0.005994
285.656000	0.599412	0.005994
285.511000	0.599454	0.005995
285.364000	0.599542	0.005995
285.216000	0.599681	0.005997
285.065000	0.599879	0.005999
284.914000	0.600099	0.006001
284.764000	0.600405	0.006004
284.616000	0.600755	0.006008
284.472000	0.601133	0.006011
284.328000	0.601507	0.006015
284.185000	0.601919	0.006019
284.045000	0.602364	0.006024
283.911000	0.602822	0.006028
283.788000	0.603274	0.006033
283.666000	0.603635	0.006036
283.545000	0.603964	0.006040
283.428000	0.604195	0.006042
283.317000	0.604298	0.006043
283.212000	0.604247	0.006042
283.109000	0.604084	0.006041
283.005000	0.603806	0.006038
282.899000	0.603456	0.006035
282.788000	0.603053	0.006031
282.680000	0.602596	0.006026
282.567000	0.602136	0.006021
282.454000	0.601676	0.006017
282.338000	0.601247	0.006012
282.221000	0.600848	0.006008
282.102000	0.600413	0.006004
