Temperature	Strain_p	Strain
305.532000	0.361112	0.003611
305.528000	0.361112	0.003611
305.516000	0.361092	0.003611
305.505000	0.361001	0.003610
305.496000	0.360850	0.003609
305.487000	0.360835	0.003608
305.478000	0.360586	0.003606
305.470000	0.360309	0.003603
305.455000	0.360030	0.003600
305.440000	0.359770	0.003598
305.424000	0.359536	0.003595
305.408000	0.359360	0.003594
305.393000	0.359300	0.003593
305.375000	0.359252	0.003593
305.353000	0.359269	0.003593
305.327000	0.359350	0.003594
305.297000	0.359485	0.003595
305.269000	0.359641	0.003596
305.242000	0.359837	0.003598
305.220000	0.360035	0.003600
305.198000	0.360252	0.003603
305.174000	0.360451	0.003605
305.147000	0.360620	0.003606
305.114000	0.360775	0.003608
305.078000	0.360854	0.003609
305.038000	0.360970	0.003610
304.997000	0.361041	0.003610
304.962000	0.361087	0.003611
304.927000	0.361095	0.003611
304.890000	0.361089	0.003611
304.853000	0.361083	0.003611
304.815000	0.361038	0.003610
304.777000	0.360962	0.003610
304.742000	0.360872	0.003609
304.708000	0.360748	0.003607
304.674000	0.360574	0.003606
304.643000	0.360455	0.003605
304.608000	0.360245	0.003602
304.569000	0.360015	0.003600
304.529000	0.359792	0.003598
304.485000	0.359600	0.003596
304.438000	0.359441	0.003594
304.388000	0.359321	0.003593
304.333000	0.359355	0.003594
304.275000	0.359304	0.003593
304.212000	0.359266	0.003593
304.149000	0.359207	0.003592
304.086000	0.359179	0.003592
304.027000	0.359141	0.003591
303.971000	0.359133	0.003591
303.917000	0.359076	0.003591
303.872000	0.359025	0.003590
303.832000	0.358963	0.003590
303.798000	0.358933	0.003589
303.768000	0.358907	0.003589
303.732000	0.358891	0.003589
303.690000	0.358861	0.003589
303.638000	0.358831	0.003588
303.579000	0.358782	0.003588
303.513000	0.358694	0.003587
303.445000	0.358594	0.003586
303.382000	0.358436	0.003584
303.320000	0.358432	0.003584
303.262000	0.358203	0.003582
303.208000	0.358016	0.003580
303.156000	0.357883	0.003579
303.101000	0.357877	0.003579
