Temperature	Strain
-3.9	20.075
-3.9	20.034
-3.9	20.037
-4	20.029
0	20.031
0	20.031
0	20.03
-4.2	20.028
-4.2	20.037
-4.2	20.028
-4.2	20.036
-4.2	20.038
-4.3	20.037
-4.3	20.038
-4.3	20.036
-4.4	20.041
-4.4	20.047
-4.4	20.044
-4.5	20.047
-4.6	20.06
-4.6	20.047
-4.7	20.06
-4.7	20.065
-4.8	20.058
-4.8	20.053
-4.9	20.069
-4.9	20.074
-4.9	20.071
-5	20.068
-5	20.074
-5.1	20.074
0	20.073
0	20.068
0	20.074
-5.3	20.071
-5.3	20.073
-5.4	20.071
-5.5	20.074
-5.5	20.077
-5.5	20.074
-5.6	20.074
-5.6	20.077
-5.6	20.078
-5.6	20.078
-5.6	20.081
-5.7	20.078
-5.7	20.078
-5.7	20.081
-5.7	20.084
-5.8	20.078
-5.8	20.078
-5.9	20.081
-6	20.078
-6	20.078
-6	20.081
-6	20.084
-6.1	20.08
-6.1	20.08
-6.1	20.083
-6.1	20.08
-6.1	20.08
-6.1	20.086
-6.2	20.077
0	20.083
0	20.083
0	20.086
-6.4	20.086
-6.4	20.089
-6.5	20.098
-6.6	20.093
-6.6	20.092
-6.6	20.093
-6.7	20.102
-6.7	20.09
-6.7	20.096
-6.8	20.093
-6.8	20.096
-6.9	20.09
-6.9	20.087
-6.9	20.088
-7	20.084
-7	20.1
-7	20.093
-7	20.096
-7.1	20.097
-7.1	20.093
-7.1	20.099
-7.2	20.099
-7.2	20.102
-7.2	20.096
-7.3	20.086
-7.3	20.093
0	20.099
0	20.089
0	20.087
0	20.093
-7.5	20.09
-7.5	20.086
-7.5	20.077
-7.6	20.076
-7.6	20.09
-7.7	20.098
-7.7	20.089
-7.7	20.092
-7.8	20.086
-7.8	20.081
-7.8	20.089
-7.8	20.077
-8	20.077
-8	20.078
-8	20.08
-8	20.096
-8	20.091
-8.1	20.083
-8.1	20.09
-8.1	20.093
-8.1	20.09
-8.1	20.093
-8.2	20.09
-8.2	20.084
-8.2	20.081
-8.3	20.096
-8.5	20.093
-8.5	20.081
-8.6	20.075
-8.6	20.084
-8.6	20.088
-8.6	20.081
-8.6	20.091
-8.6	20.081
-8.7	20.081
-8.7	20.081
-8.7	20.099
-8.7	20.083
-8.8	20.077
-8.8	20.08
-8.9	20.075
-8.9	20.084
-8.9	20.086
-9	20.077
-9	20.089
-9	20.09
-9.1	20.098
-9.3	20.083
-9.3	20.083
-9.4	20.09
-9.4	20.076
-9.4	20.077
-9.4	20.074
-9.4	20.079
-9.4	20.08
-9.5	20.077
-9.5	20.092
-9.5	20.08
-9.6	20.089
-9.7	20.083
-9.7	20.08
-9.7	20.077
-9.7	20.08
-9.7	20.086
-9.8	20.084
-9.8	20.087
-9.8	20.09
-9.9	20.093
-9.9	20.09
-9.9	20.078
-9.9	20.09
-10	20.087
-10	20.096
-10.1	20.081
-10.1	20.087
-10.1	20.084
-10.2	20.078
-10.2	20.1
-10.3	20.087
-10.3	20.097
-10.3	20.09
-10.4	20.1
-10.4	20.09
-10.4	20.087
-10.4	20.09
-10.5	20.087
-10.5	20.084
-10.6	20.102
-10.6	20.081
-10.6	20.078
-10.7	20.08
-10.8	20.093
-10.8	20.089
-10.9	20.099
-10.9	20.102
-10.9	20.077
-11	20.093
-11	20.093
-11	20.093
-11	20.096
-11	20.089
-11	20.084
-11.1	20.093
-11.1	20.081
-11.1	20.092
-11.1	20.071
-11.2	20.089
-11.2	20.089
-11.2	20.092
-11.3	20.086
-11.3	20.071
-11.4	20.086
-11.4	20.086
-11.4	20.091
-11.5	20.07
-11.5	20.083
-11.5	20.077
-11.5	20.08
-11.6	20.083
-11.6	20.083
-11.6	20.086
-11.6	20.083
-11.6	20.083
-11.7	20.1
-11.7	20.086
-11.7	20.085
-11.8	20.08
-11.8	20.08
-11.8	20.086
-11.9	20.08
-11.9	20.089
-11.9	20.089
-12	20.087
-12	20.086
-12	20.089
-12	20.092
-12	20.089
-12.1	20.089
-12.1	20.086
-12.1	20.058
-12.1	20.089
-12.2	20.089
-12.2	20.089
-12.2	20.097
-12.4	20.061
-12.4	20.046
-12.4	20.081
-12.5	20.058
-12.5	20.058
-12.6	20.067
-12.6	20.053
-12.6	20.064
-12.7	20.075
-12.7	20.053
-12.7	20.062
-12.7	20.047
-12.8	20.066
-12.8	20.072
-12.8	20.066
-12.9	20.074
-12.9	20.065
-12.9	20.063
-13	20.058
-13	20.05
-13	20.06
-13.1	20.078
-13.1	20.063
-13.1	20.063
-13.2	20.066
-13.2	20.072
-13.3	20.059
-13.4	20.072
-13.4	20.063
-13.4	20.059
-13.4	20.075
-13.4	20.071
-13.4	20.081
-13.4	20.072
-13.4	20.072
-13.4	20.059
-13.5	20.061
